Device,Model,Type,IOS,BMN
irvfb-dc-3750x-2.endop.remote.hms.cdw.com,WS-C3750X-48P,router,C3750E-UNIVERSALK9-M15.0(2)SE10a,ENDOP
ram1-idf132a-3750x-1.endop.remote.hms.cdw.com,WS-C3750X-48P,router,C3750E-UNIVERSALK9-M15.0(2)SE11,ENDOP
prk870-b08dc-3750x-fw-1.endop.remote.hms.cdw.com,WS-C3750X-48P,router,C3750E-UNIVERSALK9-M15.0(2)SE4,ENDOP
cra-b8idf1-3750x-1.endop.remote.hms.cdw.com,WS-C3750X-48P,router,C3750E-UNIVERSALK9-M15.0(2)SE5,ENDOP
ch01-bmdc-3750x-1.endop.remote.hms.cdw.com,WS-C3750X-24,router,C3750E-UNIVERSALK9-M15.0(2)SE6,ENDOP
prk870-b100idfch-3750x-1.endop.remote.hms.cdw.com,WS-C3750X-48P,router,C3750E-UNIVERSALK9-M15.2(4)E7,ENDOP
mon100-bmdf-3750x-1.endop.remote.hms.cdw.com,WS-C3750X-48P,router,C3750E-UNIVERSALK9NPE-M15.0(2)SE5,ENDOP
mon100-bdc-3925e-vpls.endop.remote.hms.cdw.com,CISCO3925-CHASSIS,router,C3900e-UNIVERSALK9-M15.2(4)M6,ENDOP
dub-bmdf-3925e-vpls.endop.remote.hms.cdw.com,CISCO3925-CHASSIS,router,C3900e-UNIVERSALK9-M15.2(4)M6a,ENDOP
hor102rr-bmdf-3925e-vpls.endop.remote.hms.cdw.com,CISCO3925-CHASSIS,router,C3900e-UNIVERSALK9-M15.4(3)M1,ENDOP
irvjm-dc-3925e-mpls-1.endop.remote.hms.cdw.com,CISCO3925-CHASSIS,router,C3900e-UNIVERSALK9-M15.6(3)M5,ENDOP
ch01-baidf1-3850-1.endop.remote.hms.cdw.com,WS-C3850-48P,router,CAT3K_CAA-UNIVERSALK9-M16.3.6,ENDOP
cra-b8mdf-4500x-vss-1.endop.remote.hms.cdw.com,WS-C4500X-16,switch,cat4500e-UNIVERSALK9-M03.06.00.E,ENDOP
irvfb-dc-4500x-vss-1.endop.remote.hms.cdw.com,WS-C4500X-16,switch,cat4500e-UNIVERSALK9-M03.06.04.E,ENDOP
prk870-b100idfph-4500x-vss-1.endop.remote.hms.cdw.com,WS-C4500X-32,switch,cat4500e-UNIVERSALK9-M03.06.06.E,ENDOP
ram6-idf2-4500x-vss-1.endop.remote.hms.cdw.com,WS-C4500X-16,switch,cat4500e-UNIVERSALK9-M03.07.00.E,ENDOP
irvgy-dc-4500x-vss-1.endop.remote.hms.cdw.com,WS-C4500X-16,switch,cat4500e-UNIVERSALK9-M03.07.01.E,ENDOP
ch01-bmdc-4500x-vss-1.endop.remote.hms.cdw.com,WS-C4500X-32,switch,cat4500e-UNIVERSALK9-M03.09.00.E,ENDOP
bac-vg01.epicm.remote.hms.cdw.com,CISCO2921/K9,router,C2900-UNIVERSALK9-M15.4(3)M3,EPICM
rsb-vg02.epicm.remote.hms.cdw.com,CISCO2921/K9,router,C2900-UNIVERSALK9-M15.4(3)M6a,EPICM
bsc-vg01.epicm.remote.hms.cdw.com,CISCO2951/K9,router,C2951-UNIVERSALK9-M15.6(3)M6a,EPICM
bac-vg224.epicm.remote.hms.cdw.com,VG224,router,vg224-I6S-M15.1(4)M10,EPICM
hib-vg310.epicm.remote.hms.cdw.com,VG310,router,VG3X0-UNIVERSALK9-M15.4(3)M4,EPICM
hsm-vg310.epicm.remote.hms.cdw.com,VG310,router,VG3X0-UNIVERSALK9-M15.6(3)M1,EPICM
ent-1-mdf-vg4k.epicm.remote.hms.cdw.com,ISR4351/K9,router,X86_64_LINUX_IOSD-UNIVERSALK9-M16.3.10,EPICM
ro011c01.ffarm.remote.binc.net,2811,router,C2800NM-ADVENTERPRISEK9-M12.4(15)T13,FFARM
ro030c01.ffarm.remote.binc.net,2811,router,C2800NM-ADVENTERPRISEK9-M12.4(15)T7,FFARM
rv011c01.ffarm.remote.binc.net,CISCO2911/K9,router,C2900-UNIVERSALK9-M15.1(4)M,FFARM
v-fishf-msp-2.fishf.remote.hms.cdw.com,CISCO1921/K9,router,C1900-UNIVERSALK9-M15.4(3)M5,FISHF
sfh-1921.fishf.remote.hms.cdw.com,CISCO1921/K9,router,C1900-UNIVERSALK9-M15.5(3)M7,FISHF
ebk-1921.fishf.remote.hms.cdw.com,CISCO1921/K9,router,C1900-UNIVERSALK9-M15.5(3)M8,FISHF
r-fore-dal-1.fore.remote.hms.cdw.com,CISCO2901/K9,router,C2900-UNIVERSALK9-M15.4(3)M1,FORE
ad-vpn-2911-1.frand.remote.hms.cdw.com,CISCO2911/K9,router,C2900-UNIVERSALK9-M15.4(3)M7,FRAND
